2025-03-10 01:06:26,227 Epochs: [184/300]; Train loss: 0.088451; Valid loss: 0.065687; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:11:26,810 Epochs: [185/300]; Train loss: 0.087802; Valid loss: 0.065095; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:16:30,356 Epochs: [186/300]; Train loss: 0.087933; Valid loss: 0.065592; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:21:39,352 Epochs: [187/300]; Train loss: 0.087123; Valid loss: 0.065569; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:26:47,104 Epochs: [188/300]; Train loss: 0.088107; Valid loss: 0.065790; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:32:02,986 Epochs: [189/300]; Train loss: 0.087302; Valid loss: 0.066151; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:37:08,505 Epochs: [190/300]; Train loss: 0.088305; Valid loss: 0.065796; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:42:12,723 Epochs: [191/300]; Train loss: 0.087083; Valid loss: 0.064924; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:47:21,141 Epochs: [192/300]; Train loss: 0.086934; Valid loss: 0.063763; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:52:38,290 Epochs: [193/300]; Train loss: 0.087036; Valid loss: 0.063972; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:57:44,218 Epochs: [194/300]; Train loss: 0.088326; Valid loss: 0.066529; mapping: 0.000000; lr: 0.000001 

2025-03-10 02:02:56,158 Epochs: [195/300]; Train loss: 0.087104; Valid loss: 0.065944; mapping: 0.000000; lr: 0.000001 

2025-03-10 02:08:11,331 Epochs: [196/300]; Train loss: 0.087971; Valid loss: 0.064412; mapping: 0.000000; lr: 0.000001 

2025-03-10 02:13:16,463 Epochs: [197/300]; Train loss: 0.087727; Valid loss: 0.063895; mapping: 0.000000; lr: 0.000001 

2025-03-10 02:18:34,740 Epochs: [198/300]; Train loss: 0.086460; Valid loss: 0.064773; mapping: 0.000000; lr: 0.000001 

2025-03-10 02:23:40,369 Epochs: [199/300]; Train loss: 0.089375; Valid loss: 0.066417; mapping: 0.000000; lr: 0.000001 

